Team1,Team1Players,Team1Prospects,Team1Picks,Team1Cash,Team2,Team2Players,Team2Prospects,Team2Picks,Team2Cash,Date,
Philly,Joshua Bailey,,,,Rangers,Patric Hornqvist,Carl Grundstrom,,,9/12/2019,
Philly,Patric Hornqvist,,,,Toronto,Brandon Pirri,,EDM 4th 2019,,9/12/2019,
LosAngeles,"Alexander Edler, Marcus Johansson, David Savard",,,,Columbus,Austin Czarnik,"Cale Fleury, Michael DiPietro, Trent Frederic","CBJ 1st 2018, CBJ 4th 2019",,9/12/2019,
Toronto,,,CAR 4th 2018,,New Jersey,Dennis Seidenberg ,,,,9/12/2019,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
